IP; Estado; Puerto 445; Puerto 3389
192.168.41.125;No Vulnerable;open;Not Scanned
10.81.181.248;No Vulnerable;open;Not Scanned
172.28.171.219;No Vulnerable;open;Not Scanned
192.168.9.168;No Vulnerable;open;Not Scanned
192.168.200.24;No Vulnerable;open;Not Scanned
192.168.53.143;No Vulnerable;open;Not Scanned
172.28.120.240;No Vulnerable;open;Not Scanned
172.28.122.156;Vulnerable;open;Not Scanned
172.28.150.149;No Vulnerable;open;Not Scanned
192.168.12.114;No Vulnerable;open;Not Scanned
172.28.18.136;No Vulnerable;open;Not Scanned
10.81.181.38;No Vulnerable;open;Not Scanned
192.168.57.22;No Vulnerable;open;Not Scanned
192.168.22.26;No Vulnerable;open;Not Scanned
172.28.18.190;No Vulnerable;open;Not Scanned
172.28.120.139;No Vulnerable;open;Not Scanned
172.28.18.103;No Vulnerable;open;Not Scanned
172.28.122.86;No Vulnerable;open;Not Scanned
172.28.18.152;No Vulnerable;open;Not Scanned
192.168.41.233;No Vulnerable;open;Not Scanned
192.168.12.212;No Vulnerable;open;Not Scanned
172.28.141.10;No Vulnerable;open;Not Scanned
192.168.53.220;No Vulnerable;open;Not Scanned
192.168.26.158;No Vulnerable;open;Not Scanned
192.168.130.114;No Vulnerable;open;Not Scanned
172.28.171.126;No Vulnerable;open;Not Scanned
192.168.40.62;No Vulnerable;open;Not Scanned
192.168.6.30;No Vulnerable;open;Not Scanned
172.28.18.148;No Vulnerable;open;Not Scanned
192.168.12.141;No Vulnerable;open;Not Scanned
192.168.183.190;No Vulnerable;open;Not Scanned
192.168.6.183;No Vulnerable;open;Not Scanned
192.168.85.150;Vulnerable;open;Not Scanned
172.28.18.65;No Vulnerable;open;Not Scanned
172.28.39.77;No Vulnerable;open;Not Scanned
192.168.37.44;No Vulnerable;open;Not Scanned
192.168.57.53;No Vulnerable;open;Not Scanned
172.28.122.65;No Vulnerable;open;Not Scanned
172.28.122.183;Vulnerable;open;Not Scanned
192.168.167.150;No Vulnerable;open;Not Scanned
172.28.18.116;No Vulnerable;open;Not Scanned
172.28.72.130;No Vulnerable;open;Not Scanned
172.28.142.143;No Vulnerable;open;Not Scanned
192.168.184.20;Vulnerable;open;Not Scanned
172.28.32.243;No Vulnerable;open;Not Scanned
192.168.85.48;No Vulnerable;open;Not Scanned
192.168.16.204;No Vulnerable;open;Not Scanned
192.168.53.43;No Vulnerable;open;Not Scanned
172.28.120.192;No Vulnerable;open;Not Scanned
172.28.41.88;No Vulnerable;open;Not Scanned
172.28.37.182;No Vulnerable;open;Not Scanned
172.28.37.187;No Vulnerable;open;Not Scanned
172.28.142.229;No Vulnerable;open;Not Scanned
192.168.167.195;No Vulnerable;open;Not Scanned
172.28.122.84;No Vulnerable;open;Not Scanned
192.168.9.22;No Vulnerable;open;Not Scanned
172.28.41.177;No Vulnerable;open;Not Scanned
172.28.37.40;No Vulnerable;open;Not Scanned
172.28.39.16;No Vulnerable;open;Not Scanned
192.168.26.100;No Vulnerable;open;Not Scanned
172.28.122.68;No Vulnerable;open;Not Scanned
172.28.39.126;No Vulnerable;open;Not Scanned
172.28.18.108;No Vulnerable;open;Not Scanned
192.168.26.184;No Vulnerable;open;Not Scanned
192.168.40.29;No Vulnerable;open;Not Scanned
192.168.184.30;No Vulnerable;open;Not Scanned
192.168.12.138;No Vulnerable;open;Not Scanned
172.28.41.57;No Vulnerable;open;Not Scanned
192.168.183.86;No Vulnerable;open;Not Scanned
172.28.122.72;No Vulnerable;open;Not Scanned
172.28.100.73;No Vulnerable;open;Not Scanned
10.81.181.68;No Vulnerable;open;Not Scanned
192.168.183.73;No Vulnerable;open;Not Scanned
172.28.41.167;No Vulnerable;open;Not Scanned
192.168.53.101;No Vulnerable;open;Not Scanned
10.81.181.48;No Vulnerable;open;Not Scanned
172.28.122.62;No Vulnerable;open;Not Scanned
10.81.181.50;No Vulnerable;open;Not Scanned
192.168.22.20;No Vulnerable;open;Not Scanned
192.168.40.215;No Vulnerable;open;Not Scanned
172.28.18.165;No Vulnerable;open;Not Scanned
192.168.14.46;Vulnerable;open;Not Scanned
192.168.183.103;No Vulnerable;open;Not Scanned
172.28.81.101;No Vulnerable;open;Not Scanned
192.168.85.73;Vulnerable;open;Not Scanned
192.168.130.136;No Vulnerable;open;Not Scanned
192.168.16.122;No Vulnerable;open;Not Scanned
172.28.171.223;No Vulnerable;open;Not Scanned
192.168.167.43;No Vulnerable;open;Not Scanned
192.168.16.25;No Vulnerable;open;Not Scanned
172.28.72.81;No Vulnerable;open;Not Scanned
10.81.181.33;No Vulnerable;open;Not Scanned
172.28.100.121;No Vulnerable;open;Not Scanned
172.28.72.44;Vulnerable;open;Not Scanned
172.28.39.206;No Vulnerable;open;Not Scanned
172.28.171.17;No Vulnerable;open;Not Scanned
172.28.129.47;Vulnerable;open;Not Scanned
192.168.167.26;Vulnerable;open;Not Scanned
172.28.34.145;No Vulnerable;open;Not Scanned
10.81.181.70;No Vulnerable;open;Not Scanned
192.168.37.56;No Vulnerable;open;Not Scanned
172.28.18.234;No Vulnerable;open;Not Scanned
192.168.37.25;No Vulnerable;open;Not Scanned
10.81.181.101;No Vulnerable;open;Not Scanned
172.28.142.237;No Vulnerable;open;Not Scanned
172.28.171.115;No Vulnerable;open;Not Scanned
192.168.16.151;No Vulnerable;open;Not Scanned
172.28.41.56;No Vulnerable;open;Not Scanned
172.28.72.55;No Vulnerable;open;Not Scanned
172.28.130.200;No Vulnerable;open;Not Scanned
172.28.159.147;No Vulnerable;open;Not Scanned
172.28.41.164;No Vulnerable;open;Not Scanned
172.28.81.31;No Vulnerable;open;Not Scanned
192.168.16.101;Vulnerable;open;Not Scanned
172.28.39.210;No Vulnerable;open;Not Scanned
192.168.14.57;No Vulnerable;open;Not Scanned
192.168.40.147;No Vulnerable;open;Not Scanned
172.28.176.227;No Vulnerable;open;Not Scanned
192.168.183.99;No Vulnerable;open;Not Scanned
172.28.171.217;No Vulnerable;open;Not Scanned
172.28.39.153;No Vulnerable;open;Not Scanned
172.28.129.97;No Vulnerable;open;Not Scanned
192.168.180.33;No Vulnerable;open;Not Scanned
172.28.122.18;No Vulnerable;open;Not Scanned
172.28.72.84;No Vulnerable;open;Not Scanned
172.28.171.57;No Vulnerable;open;Not Scanned
172.28.129.189;No Vulnerable;open;Not Scanned
172.28.41.78;No Vulnerable;open;Not Scanned
172.28.122.111;Vulnerable;open;Not Scanned
192.168.41.38;No Vulnerable;open;Not Scanned
192.168.183.112;No Vulnerable;open;Not Scanned
192.168.53.180;No Vulnerable;open;Not Scanned
172.28.159.201;No Vulnerable;open;Not Scanned
192.168.167.153;No Vulnerable;open;Not Scanned
192.168.6.189;No Vulnerable;open;Not Scanned
10.81.181.37;No Vulnerable;open;Not Scanned
172.28.122.115;No Vulnerable;open;Not Scanned
10.81.181.46;No Vulnerable;open;Not Scanned
192.168.167.181;No Vulnerable;open;Not Scanned
192.168.183.28;Vulnerable;open;Not Scanned
172.28.129.57;No Vulnerable;open;Not Scanned
172.28.142.38;No Vulnerable;open;Not Scanned
172.28.171.120;No Vulnerable;open;Not Scanned
192.168.18.51;Vulnerable;open;Not Scanned
192.168.40.219;No Vulnerable;open;Not Scanned
172.28.122.57;No Vulnerable;open;Not Scanned
172.28.171.79;No Vulnerable;open;Not Scanned
192.168.85.38;No Vulnerable;open;Not Scanned
172.28.39.50;No Vulnerable;open;Not Scanned
192.168.40.12;No Vulnerable;open;Not Scanned
192.168.6.178;No Vulnerable;open;Not Scanned
192.168.146.55;No Vulnerable;open;Not Scanned
192.168.196.102;Vulnerable;open;Not Scanned
172.28.37.178;No Vulnerable;open;Not Scanned
172.28.18.30;No Vulnerable;open;Not Scanned
192.168.167.133;No Vulnerable;open;Not Scanned
172.28.41.97;No Vulnerable;open;Not Scanned
192.168.53.87;Vulnerable;open;Not Scanned
192.168.16.38;No Vulnerable;open;Not Scanned
172.28.120.45;No Vulnerable;open;Not Scanned
192.168.12.214;No Vulnerable;open;Not Scanned
192.168.40.184;Vulnerable;open;Not Scanned
172.28.39.133;No Vulnerable;open;Not Scanned
172.28.18.84;No Vulnerable;open;Not Scanned
172.28.142.244;Vulnerable;open;Not Scanned
172.28.18.45;No Vulnerable;open;Not Scanned
192.168.40.179;Vulnerable;open;Not Scanned
192.168.41.98;No Vulnerable;open;Not Scanned
172.28.18.178;No Vulnerable;open;Not Scanned
172.28.41.168;No Vulnerable;open;Not Scanned
172.28.100.160;No Vulnerable;open;Not Scanned
172.28.18.159;No Vulnerable;open;Not Scanned
192.168.22.47;No Vulnerable;open;Not Scanned
192.168.167.229;No Vulnerable;open;Not Scanned
172.28.18.32;No Vulnerable;open;Not Scanned
172.28.41.232;No Vulnerable;open;Not Scanned
172.28.100.104;No Vulnerable;open;Not Scanned
